                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.91208,                0.42561,                0.99251,                0.92689,                0.87647,                0.93222,                0.61578,                 1.2922,                0.53361,                 1.2397,              0.0067132,              0.0067132,              0.0067132
                     85,                 0.9151,                0.43249,                 1.0038,                0.91265,                0.88981,                0.93481,                0.61854,                 1.2825,                0.52588,                 1.2641,              0.0066736,              0.0066736,              0.0066736
                     86,                0.90268,                0.41955,                0.99451,                0.92471,                0.88903,                0.93531,                0.62083,                 1.2823,                 0.5208,                 1.2524,               0.006634,               0.006634,               0.006634
                     87,                0.90158,                0.41782,                0.99236,                 0.9142,                0.89285,                  0.936,                0.61981,                 1.2862,                0.52022,                 1.2447,              0.0065944,              0.0065944,              0.0065944
                     88,                0.89708,                 0.4153,                0.99417,                0.92247,                0.88087,                0.93356,                0.61747,                 1.2943,                0.52631,                 1.2585,              0.0065548,              0.0065548,              0.0065548
                     89,                0.89013,                0.41259,                 0.9908,                0.92652,                0.88008,                0.93324,                 0.6157,                  1.288,                0.52072,                  1.251,              0.0065152,              0.0065152,              0.0065152
                     90,                0.89086,                0.41353,                0.98823,                0.90805,                0.90145,                0.93455,                0.61992,                 1.2798,                 0.5166,                 1.2276,              0.0064756,              0.0064756,              0.0064756
                     91,                0.88829,                0.41144,                0.98195,                0.92333,                0.88748,                 0.9311,                0.61298,                 1.2892,                0.52648,                 1.2531,               0.006436,               0.006436,               0.006436
                     92,                0.88621,                0.41443,                0.98294,                0.91075,                0.89493,                0.93463,                0.61742,                 1.2885,                0.52514,                 1.2471,              0.0063964,              0.0063964,              0.0063964
                     93,                0.87091,                0.40522,                0.97798,                0.91465,                0.88837,                0.93283,                0.61555,                   1.29,                0.52368,                  1.243,              0.0063568,              0.0063568,              0.0063568
